dataset,cell_id,group,method,max_score,mean_score,label
Dataset2,D2_Qual_9,Qualified,SPRT,26.526886126617182,3.880782010906324,0
Dataset2,D2_Qual_10,Qualified,SPRT,24.547714877106156,3.1619693075665207,0
Dataset2,D2_Qual_11,Qualified,SPRT,27.397219164188712,4.076679788226032,0
Dataset2,D2_Qual_12,Qualified,SPRT,27.684289740337515,4.307107066966164,0
Dataset2,D2_Qual_13,Qualified,SPRT,27.225892604381155,4.788131386262278,0
Dataset2,D2_Qual_14,Qualified,SPRT,29.758427798668524,4.53745799251493,0
Dataset2,D2_Subseq_15,Subsequent,SPRT,77.04547192328025,27.09081108865993,1
Dataset2,D2_Subseq_16,Subsequent,SPRT,58.544230090923996,19.17461798974625,1
Dataset2,D2_Subseq_17,Subsequent,SPRT,105.53865261710986,39.566373043434915,1
Dataset2,D2_Subseq_18,Subsequent,SPRT,94.42744211208905,34.401293783192195,1
Dataset2,D2_Subseq_19,Subsequent,SPRT,116.49675019824059,44.259301702421084,1
Dataset2,D2_Subseq_20,Subsequent,SPRT,207.29496159819465,96.82709514577238,1
Dataset2,D2_Subseq_21,Subsequent,SPRT,144.24178694815188,61.24950551945137,1
Dataset2,D2_Subseq_22,Subsequent,SPRT,43.16105679904166,14.474983757557242,1
Dataset2,D2_Subseq_23,Subsequent,SPRT,76.37830868174156,28.193048002999003,1
