dataset,cell_id,group,method,threshold_type,threshold_value,detection_cycle,max_score
Dataset2,D2_Qual_3,Qualified,Transformer_AE,mean+2σ,0.21053419,9.0,1.2301403284072876
Dataset2,D2_Qual_3,Qualified,Transformer_AE,P95,0.16304968,8.0,1.2301403284072876
Dataset2,D2_Qual_4,Qualified,Transformer_AE,mean+3σ,0.29765,,0.25949832797050476
Dataset2,D2_Qual_4,Qualified,Transformer_AE,mean+2σ,0.21053419,,0.25949832797050476
Dataset2,D2_Qual_4,Qualified,Transformer_AE,P95,0.16304968,24.0,0.25949832797050476
Dataset2,D2_Qual_5,Qualified,Transformer_AE,mean+3σ,0.29765,,0.09435253590345383
Dataset2,D2_Qual_5,Qualified,Transformer_AE,mean+2σ,0.21053419,,0.09435253590345383
Dataset2,D2_Qual_5,Qualified,Transformer_AE,P95,0.16304968,,0.09435253590345383
Dataset2,D2_Qual_6,Qualified,Transformer_AE,mean+3σ,0.29765,,0.18484482169151306
Dataset2,D2_Qual_6,Qualified,Transformer_AE,mean+2σ,0.21053419,,0.18484482169151306
